Asset 1,Asset 1 Industry,Asset 1 Sector,Asset 1 Long Name,Asset 2,Asset 2 Industry,Asset 2 Sector,Asset 2 Long Name,ADF p-Value,TestDate
PODD,Medical Devices,Healthcare,Insulet Corporation,SYK,Medical Devices,Healthcare,Stryker Corporation,0.049417,2024-11-15
EMN,Specialty Chemicals,Basic Materials,Eastman Chemical Company,PPG,Specialty Chemicals,Basic Materials,"PPG Industries, Inc.",0.049056,2024-11-19
CB,Insurance - Property & Casualty,Financial Services,Chubb Limited,PGR,Insurance - Property & Casualty,Financial Services,The Progressive Corporation,0.048947,2024-11-14
FRT,REIT - Retail,Real Estate,Federal Realty Investment Trust,REG,REIT - Retail,Real Estate,Regency Centers Corporation,0.047887,2024-11-18
IFF,Specialty Chemicals,Basic Materials,International Flavors & Fragrances Inc.,PPG,Specialty Chemicals,Basic Materials,"PPG Industries, Inc.",0.047461,2024-11-19
CF,Agricultural Inputs,Basic Materials,"CF Industries Holdings, Inc.",FMC,Agricultural Inputs,Basic Materials,FMC Corporation,0.046733,2024-11-15
CBOE,Financial Data & Stock Exchanges,Financial Services,"Cboe Global Markets, Inc.",MSCI,Financial Data & Stock Exchanges,Financial Services,MSCI Inc.,0.046664,2024-11-14
CB,Insurance - Property & Casualty,Financial Services,Chubb Limited,PGR,Insurance - Property & Casualty,Financial Services,The Progressive Corporation,0.046208,2024-11-19
CRL,Diagnostics & Research,Healthcare,"Charles River Laboratories International, Inc.",DGX,Diagnostics & Research,Healthcare,Quest Diagnostics Incorporated,0.046132,2024-11-14
CRL,Diagnostics & Research,Healthcare,"Charles River Laboratories International, Inc.",DGX,Diagnostics & Research,Healthcare,Quest Diagnostics Incorporated,0.045381,2024-11-18
FRT,REIT - Retail,Real Estate,Federal Realty Investment Trust,REG,REIT - Retail,Real Estate,Regency Centers Corporation,0.045288,2024-11-19
EQR,REIT - Residential,Real Estate,Equity Residential,MAA,REIT - Residential,Real Estate,"Mid-America Apartment Communities, Inc.",0.044820,2024-11-14
CB,Insurance - Property & Casualty,Financial Services,Chubb Limited,PGR,Insurance - Property & Casualty,Financial Services,The Progressive Corporation,0.043318,2024-11-15
PODD,Medical Devices,Healthcare,Insulet Corporation,SYK,Medical Devices,Healthcare,Stryker Corporation,0.043245,2024-11-18
CRL,Diagnostics & Research,Healthcare,"Charles River Laboratories International, Inc.",RVTY,Diagnostics & Research,Healthcare,"Revvity, Inc.",0.043127,2024-11-19
EQR,REIT - Residential,Real Estate,Equity Residential,MAA,REIT - Residential,Real Estate,"Mid-America Apartment Communities, Inc.",0.042713,2024-11-15
CRL,Diagnostics & Research,Healthcare,"Charles River Laboratories International, Inc.",DGX,Diagnostics & Research,Healthcare,Quest Diagnostics Incorporated,0.042676,2024-11-15
DRI,Restaurants,Consumer Cyclical,"Darden Restaurants, Inc.",YUM,Restaurants,Consumer Cyclical,"Yum! Brands, Inc.",0.042363,2024-11-19
DRI,Restaurants,Consumer Cyclical,"Darden Restaurants, Inc.",YUM,Restaurants,Consumer Cyclical,"Yum! Brands, Inc.",0.042310,2024-11-14
CRL,Diagnostics & Research,Healthcare,"Charles River Laboratories International, Inc.",RVTY,Diagnostics & Research,Healthcare,"Revvity, Inc.",0.042134,2024-11-18
CB,Insurance - Property & Casualty,Financial Services,Chubb Limited,PGR,Insurance - Property & Casualty,Financial Services,The Progressive Corporation,0.041959,2024-11-18
APD,Specialty Chemicals,Basic Materials,"Air Products and Chemicals, Inc.",ECL,Specialty Chemicals,Basic Materials,Ecolab Inc.,0.041820,2024-11-19
EIX,Utilities - Regulated Electric,Utilities,Edison International,ES,Utilities - Regulated Electric,Utilities,Eversource Energy,0.041816,2024-11-19
DRI,Restaurants,Consumer Cyclical,"Darden Restaurants, Inc.",YUM,Restaurants,Consumer Cyclical,"Yum! Brands, Inc.",0.040797,2024-11-15
CRL,Diagnostics & Research,Healthcare,"Charles River Laboratories International, Inc.",RVTY,Diagnostics & Research,Healthcare,"Revvity, Inc.",0.040175,2024-11-15
AJG,Insurance Brokers,Financial Services,Arthur J. Gallagher & Co.,BRO,Insurance Brokers,Financial Services,"Brown & Brown, Inc.",0.039262,2024-11-19
DRI,Restaurants,Consumer Cyclical,"Darden Restaurants, Inc.",YUM,Restaurants,Consumer Cyclical,"Yum! Brands, Inc.",0.039160,2024-11-18
